INFO  - 2014-11-12 17:17:43.211; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-11-12 17:17:45.781; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-11-12 17:17:45.782; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-11-12 17:17:45.782; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-11-12 17:17:45.782; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-11-12 17:17:45.942; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-11-12 17:17:45.944; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-11-12 17:17:45.946; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-11-12 17:17:45.947; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-11-12 17:17:46.016; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /SOLR/solr-4.10.2/example/solr
INFO  - 2014-11-12 17:17:46.027; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /SOLR/solr-4.10.2/example/solr/collection1/
INFO  - 2014-11-12 17:17:46.027; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-11-12 17:17:46.030; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/SOLR/solr-4.10.2/example/solr/collection1/'
INFO  - 2014-11-12 17:17:46.125; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-11-12 17:17:46.127; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-11-12 17:17:46.127; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-11-12 17:17:46.127; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-11-12 17:17:46.128; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-11-12 17:17:46.128; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-11-12 17:17:46.128; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2014-11-12 17:17:46.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2014-11-12 17:17:46.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2014-11-12 17:17:46.130; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.130; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-11-12 17:17:46.130; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-11-12 17:17:46.131; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2014-11-12 17:17:46.131; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2014-11-12 17:17:46.132; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-11-12 17:17:46.132; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-11-12 17:17:46.132; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2014-11-12 17:17:46.133; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.133; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.133; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.134; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.134; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-11-12 17:17:46.134; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.135; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-11-12 17:17:46.135; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2014-11-12 17:17:46.136; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2014-11-12 17:17:46.136; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2014-11-12 17:17:46.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-11-12 17:17:46.138; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2014-11-12 17:17:46.139; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/dist/solr-cell-4.10.2.jar' to classloader
INFO  - 2014-11-12 17:17:46.140; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.141; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2014-11-12 17:17:46.142; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-11-12 17:17:46.142; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-11-12 17:17:46.143; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-11-12 17:17:46.143; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-11-12 17:17:46.143; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-11-12 17:17:46.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-11-12 17:17:46.145; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/dist/solr-clustering-4.10.2.jar' to classloader
INFO  - 2014-11-12 17:17:46.146; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-11-12 17:17:46.146; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-11-12 17:17:46.147; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/dist/solr-langid-4.10.2.jar' to classloader
INFO  - 2014-11-12 17:17:46.147; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2014-11-12 17:17:46.148; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-11-12 17:17:46.148; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-11-12 17:17:46.148; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-11-12 17:17:46.149; org.apache.solr.core.SolrResourceLoader; Adding 'file:/SOLR/solr-4.10.2/dist/solr-velocity-4.10.2.jar' to classloader
INFO  - 2014-11-12 17:17:46.318; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-11-12 17:17:46.328; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.2
INFO  - 2014-11-12 17:17:46.588; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-11-12 17:17:46.599; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /SOLR/solr-4.10.2/example/solr/collection1/conf/schema.xml
INFO  - 2014-11-12 17:17:46.661; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-11-12 17:17:47.167; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-11-12 17:17:47.182; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-11-12 17:17:47.182; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-11-12 17:17:47.265; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-11-12 17:17:47.272; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-11-12 17:17:47.391; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /SOLR/solr-4.10.2/example/solr/collection1/
INFO  - 2014-11-12 17:17:47.417; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-11-12 17:17:47.424; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /SOLR/solr-4.10.2/example/solr/collection1/, dataDir=/SOLR/solr-4.10.2/example/solr/collection1/data/
INFO  - 2014-11-12 17:17:47.428; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-11-12 17:17:47.435; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-11-12 17:17:47.436; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-11-12 17:17:47.525; org.apache.solr.core.CachingDirectoryFactory; return new directory for /SOLR/solr-4.10.2/example/solr/collection1/data
INFO  - 2014-11-12 17:17:47.545; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/SOLR/solr-4.10.2/example/solr/collection1/data/index/
WARN  - 2014-11-12 17:17:47.546; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/SOLR/solr-4.10.2/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-11-12 17:17:47.557; org.apache.solr.core.CachingDirectoryFactory; return new directory for /SOLR/solr-4.10.2/example/solr/collection1/data/index
INFO  - 2014-11-12 17:17:47.610; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/SOLR/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/SOLR/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-11-12 17:17:47.611; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-11-12 17:17:47.616; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-11-12 17:17:47.616; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-11-12 17:17:47.617; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-11-12 17:17:47.621; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-11-12 17:17:47.621; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-11-12 17:17:47.717; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-11-12 17:17:47.726; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.726; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.726; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.727; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.733; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.734; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.736; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-11-12 17:17:47.736; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.736; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2014-11-12 17:17:47.738; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.739; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-11-12 17:17:47.739; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-11-12 17:17:47.740; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-11-12 17:17:47.740; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-11-12 17:17:47.740; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-11-12 17:17:47.740; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-11-12 17:17:47.741; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-11-12 17:17:47.743; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-11-12 17:17:47.746; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-11-12 17:17:47.755; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-11-12 17:17:47.767; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-11-12 17:17:47.767; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.767; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.767; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.767; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.793; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-12 17:17:47.796; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-12 17:17:47.797; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-12 17:17:47.798; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-12 17:17:47.800; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-12 17:17:47.825; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-11-12 17:17:47.826; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-11-12 17:17:47.838; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/SOLR/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/SOLR/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-11-12 17:17:47.839; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-11-12 17:17:47.848; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@7a02083b[collection1] main
INFO  - 2014-11-12 17:17:47.855; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.856; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/SOLR/solr-4.10.2/example/solr/collection1/conf}
INFO  - 2014-11-12 17:17:47.858; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.866; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.867; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2014-11-12 17:17:47.867; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-11-12 17:17:47.867; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.869; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.869; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-11-12 17:17:47.870; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-11-12 17:17:47.870; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-11-12 17:17:47.871; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.872; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.873; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-11-12 17:17:47.874; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-11-12 17:17:47.877; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-11-12 17:17:47.878; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-11-12 17:17:47.885; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-11-12 17:17:47.893; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-11-12 17:17:47.895; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-11-12 17:17:47.897; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-11-12 17:17:47.915; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-11-12 17:17:47.917; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /SOLR/solr-4.10.2/example/solr/collection1/conf/elevate.xml
INFO  - 2014-11-12 17:17:47.952; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-11-12 17:17:47.953; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@7a02083b[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-11-12 17:17:47.954; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-11-12 17:17:47.960; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/SOLR/solr-4.10.2/example
INFO  - 2014-11-12 17:17:47.960; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-11-12 17:17:48.028; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
